# =============================================================================
# DEFCON LANGUAGE FILE
#
# Format:
# stringId                  translation
#
#
# A hash at the start of a line indicates a comment
# StringIDs MUST be left untouched during translation
#
# =============================================================================


# =============================================================================
# Name of the language in the language
# =============================================================================

lang                                English


# =============================================================================
# Interfaces and dialogs
# =============================================================================

website_main                        http://www.everybody-dies.com
website_main_retail                 http://www.defconthegame.com
website_main_retail_uk              http://www.defconvideogame.com
website_main_retail_multi_language  http://www.everybody-dies.com
website_buy                         http://store.introversion.co.uk
website_buy_retail                  http://www.defconthegame.com
website_buy_retail_uk               http://www.defconvideogame.com
website_buy_retail_multi_language   http://www.everybody-dies.com
website_support                     http://www.everybody-dies.com/support/
website_support_retail              http://www.defconthegame.com/support/
website_support_retail_uk           http://www.defconvideogame.com/support/
website_support_retail_multi_language http://www.everybody-dies.com/support/
website_mods                        http://www.everybody-dies.com/mods/
website_mods_retail                 http://www.defconthegame.com/mods/
website_mods_retail_uk              http://www.defconvideogame.com/mods/
website_mods_retail_multi_language  http://www.everybody-dies.com/mods/

dialog_mainmenu                     Main Menu
dialog_newgame                      New Game
dialog_joingame                     Join Game
dialog_leavegame                    Leave Game
dialog_manual                       User Manual
dialog_exit                         Exit Defcon
dialog_confirm_exit                 Confirm Exit
dialog_preparing                    Preparing Game...
dialog_game_starting                Game Starting...
dialog_tutorial_starting            Tutorial Starting...
dialog_exit_defcon                  Exit Defcon?
dialog_leave_this_game              Leave this game?
dialog_chapter                      Chapter *C
# C = Chapter
dialog_tutorial                     Tutorial *T
# T = Tutorial
dialog_rolling_demo                 Rolling Demo
dialog_tools                        Tools
dialog_otheroptions                 Other Options

dialog_options                      Options
dialog_high                         High
dialog_medium                       Medium
dialog_low                          Low
dialog_enabled                      Enabled
dialog_disabled                     Disabled

dialog_apply                        Apply
dialog_close                        Close
dialog_yes                          Yes
dialog_yes_l                        yes
dialog_no                           No
dialog_no_l                         no
dialog_ok                           Ok
dialog_cancel                       Cancel
dialog_save                         Save
dialog_abort                        Abort
dialog_restore_default              Restore Default
dialog_load                         Load

dialog_increase                     Increase
dialog_decrease                     Decrease

dialog_time_am                      am
dialog_time_pm                      pm

dialog_playername                   Player Name
dialog_teamname                     Team Name
dialog_setplayername                Set Player Name
dialog_setteamname                  Set Team Name

dialog_graphicsoptions              Graphics
dialog_smoothlines                  Smooth Lines
dialog_borders                      Show Borders
dialog_citynames                    Show City Names
dialog_countrynames                 Show Country Names
dialog_messages                     Show Messages
dialog_water                        Show Water
dialog_radiation                    Show Radiation
dialog_lowdetailworld               Low-detail World
dialog_objecttrails                 Show Object Trails
dialog_lobbyeffects                 Lobby Effects

dialog_waternormal					Normal
dialog_watershaded					Shaded

dialog_soundoptions                 Sound
dialog_unavailable                  unavailable
dialog_soundlibrary                 Sound Library
dialog_directsound                  DirectSound
dialog_softwaresound                Software Sound
dialog_mixfrequency                 Mix Frequency
dialog_11khz                        11 Khz Low Quality
dialog_22khz                        22 Khz Medium Quality
dialog_44khz                        44 Khz High Quality
dialog_numchannels                  Num Channels
dialog_8channels                    8 Channels
dialog_16channels                   16 Channels
dialog_32channels                   32 Channels
dialog_64channels                   64 Channels
