# =============================================================================
# DEFCON LANGUAGE FILE
#
# Format:
# stringId                  translation
#
#
# A hash at the start of a line indicates a comment
# StringIDs MUST be left untouched during translation
#
# =============================================================================


# =============================================================================
# Name of the language in the language
# =============================================================================

lang			Italiano


# =============================================================================
# Interfaces and dialogs
# =============================================================================

website_main                        http://www.everybody-dies.com
website_main_retail                 http://www.defconthegame.com
website_main_retail_uk              http://www.defconvideogame.com
website_main_retail_multi_language  http://www.everybody-dies.com
website_buy                         http://store.introversion.co.uk
website_buy_steam                   steam://store/1520
website_buy_retail                  http://www.defconthegame.com
website_buy_retail_uk               http://www.defconvideogame.com
website_buy_retail_multi_language   http://www.everybody-dies.com
website_buy_macosx                  http://secure.ambrosiasw.com/add.php?action=add&item=3600
website_support                     http://www.everybody-dies.com/support/
website_support_retail              http://www.defconthegame.com/support/
website_support_retail_uk           http://www.defconvideogame.com/support/
website_support_retail_multi_language http://www.everybody-dies.com/support/
website_support_macosx              http://www.ambrosiasw.com/support/
website_mods                        http://www.everybody-dies.com/mods/
website_mods_retail                 http://www.defconthegame.com/mods/
website_mods_retail_uk              http://www.defconvideogame.com/mods/
website_mods_retail_multi_language  http://www.everybody-dies.com/mods/

dialog_mainmenu			Menu principale
dialog_newgame			Nuova partita
dialog_joingame			Entra in partita
dialog_leavegame			Lascia partita
dialog_manual                       Manuale di utente
dialog_exit			Esci da Defcon
dialog_confirm_exit			Conferma uscita
dialog_preparing			Preparazione...
dialog_game_starting			Avvio partita...
dialog_tutorial_starting			Avvio tutorial...
dialog_exit_defcon			Esci da Defcon?
dialog_leave_this_game			Lascia questa partita?
dialog_chapter			Capitolo *C
# C = Chapter
dialog_tutorial			Tutorial *T
# T = Tutorial
dialog_rolling_demo			Rolling demo
dialog_tools			Strumenti
dialog_otheroptions			Altre opzioni

dialog_options			Opzioni
dialog_high			Alto
dialog_medium			Medio
dialog_low			Basso
dialog_enabled			Abilitato
dialog_disabled			Disabilitato

dialog_apply			Applica
dialog_close			Chiudi
dialog_yes			Sì
dialog_yes_l			sì
dialog_no			No
dialog_no_l			no
dialog_ok			Ok
dialog_cancel			Cancella
dialog_save			Salva
dialog_abort			Abbandona
dialog_restore_default			Ripristina default
dialog_load			Carica

dialog_increase			Aumenta
dialog_decrease			Diminuisci

dialog_time_am			am
dialog_time_pm			pm

dialog_playername			Nome giocatore
dialog_teamname			Nome squadra
dialog_setplayername			Scegli nome giocatore
dialog_setteamname			Scegli nome squadra

dialog_graphicsoptions			Grafica
dialog_smoothlines			Linee curve
dialog_borders			Confini
dialog_citynames			Nomi città
dialog_countrynames			Nomi nazioni
dialog_messages			Messaggi
dialog_water			Acqua
dialog_radiation			Radiazioni
dialog_lowdetailworld			Poco dettagliato
dialog_objecttrails			Scie oggetti
dialog_lobbyeffects			Effetti lobby

dialog_waternormal			Normale
dialog_watershaded			Ombreggiato

dialog_soundoptions			Sonoro
dialog_unavailable			non disponibile
dialog_soundlibrary			Libreria suoni
dialog_directsound			DirectSound
dialog_softwaresound			Software sonoro
dialog_mixfrequency			Frequenza mix
dialog_11khz			11 Khz qualità bassa
dialog_22khz			22 Khz qualità media
