# =============================================================================
# DEFCON LANGUAGE FILE
#
# Format:
# stringId                  translation
#
#
# A hash at the start of a line indicates a comment
# StringIDs MUST be left untouched during translation
#
# =============================================================================


# =============================================================================
# Name of the language in the language
# =============================================================================

lang			Español


# =============================================================================
# Interfaces and dialogs
# =============================================================================

website_main                        http://www.everybody-dies.com
website_main_retail                 http://www.defconthegame.com
website_main_retail_uk              http://www.defconvideogame.com
website_main_retail_multi_language  http://www.everybody-dies.com
website_buy                         http://store.introversion.co.uk
website_buy_steam                   steam://store/1520
website_buy_retail                  http://www.defconthegame.com
website_buy_retail_uk               http://www.defconvideogame.com
website_buy_retail_multi_language   http://www.everybody-dies.com
website_buy_macosx                  http://secure.ambrosiasw.com/add.php?action=add&item=3600
website_support                     http://www.everybody-dies.com/support/
website_support_retail              http://www.defconthegame.com/support/
website_support_retail_uk           http://www.defconvideogame.com/support/
website_support_retail_multi_language http://www.everybody-dies.com/support/
website_support_macosx              http://www.ambrosiasw.com/support/
website_mods                        http://www.everybody-dies.com/mods/
website_mods_retail                 http://www.defconthegame.com/mods/
website_mods_retail_uk              http://www.defconvideogame.com/mods/
website_mods_retail_multi_language  http://www.everybody-dies.com/mods/

dialog_mainmenu			Menú Principal
dialog_newgame			Nueva Partida
dialog_joingame			Unirse a una Partida
dialog_leavegame			Abandonar
dialog_manual                       Manual de usuario
dialog_exit			Salir de Defcon
dialog_confirm_exit			Confirmar Salida
dialog_preparing			Preparando...
dialog_game_starting			Iniciando Partida...
dialog_tutorial_starting			Iniciando Tutorial...
dialog_exit_defcon			¿Salir de Defcon?
dialog_leave_this_game			¿Abandonar esta partida?
dialog_chapter			Capítulo *C
# C = Chapter
dialog_tutorial			Tutorial *T
# T = Tutorial
dialog_rolling_demo			Demostración Automática
dialog_tools			Herramientas
dialog_otheroptions			Otras Opciones

dialog_options			Opciones
dialog_high			Alto
dialog_medium			Medio
dialog_low			Bajo
dialog_enabled			Habilitado
dialog_disabled			Deshabilitado

dialog_apply			Aplicar
dialog_close			Cerrar
dialog_yes			Sí
dialog_yes_l			sí
dialog_no			No
dialog_no_l			no
dialog_ok			Aceptar
dialog_cancel			Cancelar
dialog_save			Guardar
dialog_abort			Anular
dialog_restore_default			Configuración Por Defecto
dialog_load			Cargar

dialog_increase			Aumentar
dialog_decrease			Disminuir

dialog_time_am			am
dialog_time_pm			pm

dialog_playername			Nombre del Jugador
dialog_teamname			Nombre del Equipo
dialog_setplayername			Configurar Nombre del Jugador
dialog_setteamname			Configurar Nombre del Equipo

dialog_graphicsoptions			Gráficos
dialog_smoothlines			Líneas Suavizadas
dialog_borders			Fronteras
dialog_citynames			Nombres de Ciudades
dialog_countrynames			Nombres de Países
dialog_messages			Mensajes
dialog_water			Agua
dialog_radiation			Radiación
dialog_lowdetailworld			Pocos Detalles
dialog_objecttrails			Estelas de Objetos
dialog_lobbyeffects			Efectos en Inicio

dialog_waternormal			Normal
dialog_watershaded			Sombreada

dialog_soundoptions			Sonido
dialog_unavailable			no disponible
dialog_soundlibrary			Biblioteca
dialog_directsound			DirectSound
dialog_softwaresound			Sonido por Software
dialog_mixfrequency			Mezcla
