# =============================================================================
# DEFCON LANGUAGE FILE
#
# Format:
# stringId                  translation
#
#
# A hash at the start of a line indicates a comment
# StringIDs MUST be left untouched during translation
#
# =============================================================================


# =============================================================================
# Name of the language in the language
# =============================================================================

lang                                Polski


# =============================================================================
# Interfaces and dialogs
# =============================================================================

#website_main                        http://www.everybody-dies.com
#website_main_retail                 http://www.defconthegame.com
#website_main_retail_uk              http://www.defconvideogame.com
website_main_retail_multi_language  http://www.play.pl
#website_buy                         http://store.introversion.co.uk
#website_buy_steam                   steam://store/1520
#website_buy_retail                  http://www.defconthegame.com
#website_buy_retail_uk               http://www.defconvideogame.com
website_buy_retail_multi_language   http://www.play.pl
#website_buy_macosx                  http://secure.ambrosiasw.com/add.php?action=add&item=3600
#website_support                     http://www.everybody-dies.com/support/
#website_support_retail              http://www.defconthegame.com/support/
#website_support_retail_uk           http://www.defconvideogame.com/support/
website_support_retail_multi_language http://www.everybody-dies.com/support/
#website_support_macosx              http://www.ambrosiasw.com/support/
#website_mods                        http://www.everybody-dies.com/mods/
#website_mods_retail                 http://www.defconthegame.com/mods/
#website_mods_retail_uk              http://www.defconvideogame.com/mods/
website_mods_retail_multi_language  http://www.everybody-dies.com/mods/

dialog_mainmenu                     G³ówne menu
dialog_newgame                      Nowa gra
dialog_joingame                     Do³¹cz do gry
dialog_leavegame                    WyjdŸ z gry
dialog_manual                       Instrukcja
dialog_exit                         WyjdŸ z Defcona
dialog_confirm_exit                 PotwierdŸ wyjœcie
dialog_preparing                    Przygotowujê grê...
dialog_game_starting                Rozpoczynam grê...
dialog_tutorial_starting            Rozpoczynam samouczek...
dialog_exit_defcon                  Wyjœæ z Defcona?
dialog_leave_this_game              Opuœciæ grê?
dialog_chapter                      Rozdzia³ *C
# C = Chapter
dialog_tutorial                     Samouczek *T
# T = Tutorial
dialog_rolling_demo                 Obejrzyj demo
dialog_tools                        Narzêdzia
dialog_otheroptions                 Inne opcje

dialog_options                      Opcje
dialog_high                         Wys.
dialog_medium                       Œr.
dialog_low                          Nis.
dialog_enabled                      W³.
dialog_disabled                     Wy³.

dialog_apply                        Zastosuj
dialog_close                        Zamknij
dialog_yes                          Tak
dialog_yes_l                        tak
dialog_no                           Nie
dialog_no_l                         nie
dialog_ok                           OK
dialog_cancel                       Anuluj
dialog_save                         Zachowaj
dialog_abort                        Zatrzymaj
dialog_restore_default              Wróæ do domyœlnych
dialog_load                         Wczytaj

dialog_increase                     Zwiêksz
dialog_decrease                     Zmniejsz

dialog_time_am                      am
dialog_time_pm                      pm

dialog_playername                   Nazwa gracza
dialog_teamname                     Nazwa teamu
dialog_setplayername                Ustaw imiê gracza
dialog_setteamname                  Ustaw nazwê teamu

dialog_graphicsoptions              Grafika
dialog_smoothlines                  G³adkie linie
dialog_borders                      Poka¿ granice
dialog_citynames                    Nazwy miast
dialog_countrynames                 Nazwy krajów
dialog_messages                     Poka¿ komunikaty
dialog_water                        Efekty wody
dialog_radiation                    Poka¿ radiacjê
dialog_lowdetailworld               Ma³e det. œwiata
dialog_objecttrails                 Œlady obiektów
dialog_lobbyeffects                 Efekty lobby

dialog_waternormal					Normalna
