# =============================================================================
# DEFCON LANGUAGE FILE
#
# Format:
# stringId                  translation
#
#
# A hash at the start of a line indicates a comment
# StringIDs MUST be left untouched during translation
#
# =============================================================================


# =============================================================================
# Name of the language in the language
# =============================================================================

lang			Deutsch


# =============================================================================
# Interfaces and dialogs
# =============================================================================

website_main                        http://www.everybody-dies.com
website_main_retail                 http://www.defconthegame.com
website_main_retail_uk              http://www.defconvideogame.com
website_main_retail_multi_language  http://www.everybody-dies.com
website_buy                         http://store.introversion.co.uk
website_buy_steam                   steam://store/1520
website_buy_retail                  http://www.defconthegame.com
website_buy_retail_uk               http://www.defconvideogame.com
website_buy_retail_multi_language   http://www.everybody-dies.com
website_buy_macosx                  http://secure.ambrosiasw.com/add.php?action=add&item=3600
website_support                     http://www.everybody-dies.com/support/
website_support_retail              http://www.defconthegame.com/support/
website_support_retail_uk           http://www.defconvideogame.com/support/
website_support_retail_multi_language http://www.everybody-dies.com/support/
website_support_macosx              http://www.ambrosiasw.com/support/
website_mods                        http://www.everybody-dies.com/mods/
website_mods_retail                 http://www.defconthegame.com/mods/
website_mods_retail_uk              http://www.defconvideogame.com/mods/
website_mods_retail_multi_language  http://www.everybody-dies.com/mods/

dialog_mainmenu			Hauptmenü
dialog_newgame			Neues Spiel
dialog_joingame			An Spiel teilnehmen
dialog_leavegame			Spiel verlassen
dialog_manual                       Benutzerhandbuch
dialog_exit			Defcon beenden
dialog_confirm_exit			Ende bestätigen
dialog_preparing			Vorbereitung...
dialog_game_starting			Spiel beginnt...
dialog_tutorial_starting			Start Tutorial...
dialog_exit_defcon			Defcon beenden?
dialog_leave_this_game			Dieses Spiel verlassen?
dialog_chapter			Kapitel *C
# C = Chapter
dialog_tutorial			Tutorial *T
# T = Tutorial
dialog_rolling_demo			Demospiel
dialog_tools			Extras
dialog_otheroptions			Andere Optionen

dialog_options			Optionen
dialog_high			Hoch
dialog_medium			Mittel
dialog_low			Niedrig
dialog_enabled			Aktiviert
dialog_disabled			Deaktiviert

dialog_apply			Anwenden
dialog_close			Schließen
dialog_yes			Ja
dialog_yes_l			Ja 
dialog_no			Nein
dialog_no_l			Nein
dialog_ok			Ok
dialog_cancel			Abbrechen
dialog_save			Speichern
dialog_abort			Abbrechen
dialog_restore_default			Standard wiederherstellen
dialog_load			Laden

dialog_increase			Erhöhen
dialog_decrease			Senken

dialog_time_am			am
dialog_time_pm			pm

dialog_playername			Spielername
dialog_teamname			Teamname
dialog_setplayername			Spielername einstellen
dialog_setteamname			Teamname einstellen

dialog_graphicsoptions			Grafik
dialog_smoothlines			Linien glätten
dialog_borders			Grenzen zeigen
dialog_citynames			Stadtnamen zeigen
dialog_countrynames			Ländernamen zeigen
dialog_messages			Meldungen zeigen
dialog_water			Wasser zeigen
dialog_radiation			Verstrahlung zeigen
dialog_lowdetailworld			Wenige Details auf Welt
dialog_objecttrails			Objektspuren zeigen
dialog_lobbyeffects			Lobbyeffekte

dialog_waternormal			Normal
dialog_watershaded			Schattiert

dialog_soundoptions			Sound
dialog_unavailable			nicht verfügbar
dialog_soundlibrary			Sound-Library
dialog_directsound			DirectSound
dialog_softwaresound			Software-Sound
