# =============================================================================
# ФАЙЛ ОПИСАНИЯ DEFCON
#
# Формат:
# stringId                  перевод
#
#
# Символами в начале строки обозначаются комментарии
# StringIDs должны остаться нетронутыми!#
#
# =============================================================================


# =============================================================================
# Название языка
# =============================================================================
lang                                                  Русский


# =============================================================================
# Интерфейсы и диалоги
# =============================================================================

#website_main                                          http://www.everybody-dies.com
#website_main_retail                                   http://www.defconthegame.com
#website_main_retail_uk                                http://www.defconvideogame.com
website_main_retail_multi_language                    http://www.everybody-dies.com
#website_buy                                           http://store.introversion.co.uk
#website_buy_steam                                     steam://store/1520
#website_buy_retail                                    http://www.defconthegame.com
#website_buy_retail_uk                                 http://www.defconvideogame.com
website_buy_retail_multi_language                     http://www.everybody-dies.com
#website_buy_macosx                                    http://secure.ambrosiasw.com/add.php?action=add&item=3600
#website_support                                       http://www.everybody-dies.com/support/
#website_support_retail                                http://www.defconthegame.com/support/
#website_support_retail_uk                             http://www.defconvideogame.com/support/
website_support_retail_multi_language                 http://www.everybody-dies.com/support/
#website_support_macosx                                http://www.ambrosiasw.com/support/
#website_mods                                          http://www.everybody-dies.com/mods/
#website_mods_retail                                   http://www.defconthegame.com/mods/
#website_mods_retail_uk                                http://www.defconvideogame.com/mods/
website_mods_retail_multi_language                    http://www.everybody-dies.com/mods/

dialog_mainmenu                                       Главное меню
dialog_newgame                                        Новая игра
dialog_joingame                                       Присоединиться к игре
dialog_leavegame                                      Покинуть игру
dialog_manual                                         Руководство пользователя
dialog_exit                                           Выйти из Defcon
dialog_confirm_exit                                   Подтвердить выход
dialog_preparing                                      Подготовка к запуску...
dialog_game_starting                                  Запуск игры...
dialog_tutorial_starting                              Запуск обучения...
dialog_exit_defcon                                    Выйти из Defcon?
dialog_leave_this_game                                Покинуть эту игру?
dialog_chapter                                        Глава *C
# C = Chapter
dialog_tutorial                                       Обучение *T
# T = Tutorial
dialog_rolling_demo                                   Демонстрация
dialog_tools                                          Инструменты
dialog_otheroptions                                   Прочие настройки

dialog_options                                        Параметры
dialog_high                                           Высокий
dialog_medium                                         Средний
dialog_low                                            Низкий
dialog_enabled                                        Включено
dialog_disabled                                       Отключено

dialog_apply                                          Применить
dialog_close                                          Закрыть
dialog_yes                                            Да
dialog_yes_l                                          Да
dialog_no                                             Нет
dialog_no_l                                           Нет
dialog_ok                                             Ок
dialog_cancel                                         Отмена
dialog_save                                           Сохранить
dialog_abort                                          Отменить
dialog_restore_default                                Настройки по умолчанию
dialog_load                                           Загрузить

dialog_increase                                       Увеличить
dialog_decrease                                       Уменьшить

dialog_time_am                                        am
dialog_time_pm                                        pm

dialog_playername                                     Имя Игрока
dialog_teamname                                       Имя Команды
dialog_setplayername                                  Задать Имя Игрока
dialog_setteamname                                    Задать Имя Команды

dialog_graphicsoptions                                Графика
dialog_smoothlines                                    Сглаживание
dialog_borders                                        Границы
dialog_citynames                                      Города
dialog_countrynames                                   Страны
dialog_messages                                       Сообщения
dialog_water                                          Вода
dialog_radiation                                      Радиация
dialog_lowdetailworld                                 Низк. дет-ия
dialog_objecttrails                                   Следы объектов
dialog_lobbyeffects                                   Эффекты фойе

dialog_waternormal                                    Обычный
